,datetime,eventid,accountname,clientaddr,servicename,processname,objectname,sharename,securityid
1904,2019-06-02T22:06:10.586Z,4672,dc$,,,,,,
1905,2019-06-02T22:06:15.344Z,5140,anonymous logon,10.0.19.109,,,,\*\ipc$,s-1-5-7
1906,2019-06-02T22:06:25.578Z,4672,dc$,,,,,,
1907,2019-06-02T22:06:25.593Z,4672,dc$,,,,,,
1908,2019-06-02T22:06:27.403Z,5140,anonymous logon,10.0.19.109,,,,\*\ipc$,s-1-5-7
1909,2019-06-02T22:06:39.462Z,5140,anonymous logon,10.0.19.109,,,,\*\ipc$,s-1-5-7
1910,2019-06-02T22:07:10.599Z,4672,dc$,,,,,,
1911,2019-06-02T22:07:22.970Z,4672,dc$,,,,,,
1912,2019-06-02T22:07:22.970Z,4672,dc$,,,,,,
1913,2019-06-02T22:07:22.970Z,4672,dc$,,,,,,
1914,2019-06-02T22:07:22.970Z,4672,dc$,,,,,,
1915,2019-06-02T22:07:22.970Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\ipc$,s-1-5-18
1916,2019-06-02T22:07:22.970Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
1917,2019-06-02T22:07:23.485Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
1918,2019-06-02T22:07:23.485Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
1919,2019-06-02T22:07:23.485Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
1920,2019-06-02T22:08:10.612Z,4672,dc$,,,,,,
1921,2019-06-02T22:09:10.626Z,4672,dc$,,,,,,
1922,2019-06-02T22:10:10.639Z,4672,dc$,,,,,,
1923,2019-06-02T22:11:10.652Z,4672,dc$,,,,,,
1924,2019-06-02T22:11:25.753Z,4672,dc$,,,,,,
1925,2019-06-02T22:11:25.769Z,4672,dc$,,,,,,
1926,2019-06-02T22:12:10.666Z,4672,dc$,,,,,,
1927,2019-06-02T22:12:26.312Z,4672,dc$,,,,,,
1928,2019-06-02T22:12:26.312Z,4672,dc$,,,,,,
1929,2019-06-02T22:12:26.312Z,4672,dc$,,,,,,
1930,2019-06-02T22:12:26.312Z,4672,dc$,,,,,,
1931,2019-06-02T22:12:26.312Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
1932,2019-06-02T22:12:26.827Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
1933,2019-06-02T22:12:26.827Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
1934,2019-06-02T22:12:26.827Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
1935,2019-06-02T22:13:10.679Z,4672,dc$,,,,,,
1936,2019-06-02T22:14:10.692Z,4672,dc$,,,,,,
1937,2019-06-02T22:14:10.708Z,4769,dc$,::1,,,,,
1938,2019-06-02T22:15:10.706Z,4672,dc$,,,,,,
1939,2019-06-02T22:15:42.389Z,4672,dc$,,,,,,
1940,2019-06-02T22:15:42.389Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
1941,2019-06-02T22:16:10.719Z,4672,dc$,,,,,,
1942,2019-06-02T22:16:25.929Z,4672,dc$,,,,,,
1943,2019-06-02T22:16:25.945Z,4672,dc$,,,,,,
1944,2019-06-02T22:16:40.453Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\ipc$,s-1-5-20
1945,2019-06-02T22:17:10.732Z,4672,dc$,,,,,,
1946,2019-06-02T22:17:29.655Z,4672,dc$,,,,,,
1947,2019-06-02T22:17:29.655Z,4672,dc$,,,,,,
1948,2019-06-02T22:17:29.655Z,4672,dc$,,,,,,
1949,2019-06-02T22:17:29.655Z,4672,dc$,,,,,,
1950,2019-06-02T22:17:29.655Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
1951,2019-06-02T22:17:30.170Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
1952,2019-06-02T22:17:30.170Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
1953,2019-06-02T22:17:30.170Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
1954,2019-06-02T22:18:10.746Z,4672,dc$,,,,,,
1955,2019-06-02T22:19:10.759Z,4672,dc$,,,,,,
1956,2019-06-02T22:19:39.868Z,5140,anonymous logon,10.0.19.109,,,,\*\ipc$,s-1-5-7
1957,2019-06-02T22:19:51.927Z,5140,anonymous logon,10.0.19.109,,,,\*\ipc$,s-1-5-7
